Wavenumbers (cm-1),Glomalin,HA,BSA,,,Wavenumbers (cm-1),GOE,GOE+Glomalin,GOE+HA,GOE+BSA,,,Wavenumbers (cm-1),MnO2,MnO2+Glomalin,MnO2+HA,MnO2+BSA,,,Wavenumbers (cm-1),MMT,MMT+Glomalin,MMT+HA,MMT+BSA
2023.25621,-0.00095,-0.00038,-0.0004,,,2023.25621,-0.00029,-0.00012,0.00361,0.00073,,,2023.25621,0.04549,0.00548,0.00059,0.011,,,2023.25621,-0.00179,-0.00188,-0.00146,-0.00204
2021.32746,-0.00092,-0.00051,-0.00063,,,2021.32746,-0.00039,-0.00004,0.00355,0.00063,,,2021.32746,0.04566,0.00562,0.00031,0.01106,,,2021.32746,-0.00181,-0.00173,-0.00164,-0.00208
2019.39872,-0.00087,-0.00058,-0.00072,,,2019.39872,-0.0005,0.00007,0.00357,0.00058,,,2019.39872,0.0457,0.00566,0.00024,0.01119,,,2019.39872,-0.00165,-0.00151,-0.00169,-0.00193
2017.46997,-0.00093,-0.00044,-0.0006,,,2017.46997,-0.00059,0.0001,0.00379,0.00069,,,2017.46997,0.04571,0.00566,0.0005,0.0113,,,2017.46997,-0.00143,-0.0013,-0.00163,-0.00175
2015.54122,-0.00101,-0.00029,-0.00039,,,2015.54122,-0.00066,-0.00009,0.00401,0.00087,,,2015.54122,0.04577,0.00563,0.00084,0.01122,,,2015.54122,-0.00145,-0.00122,-0.00157,-0.0017
2013.61247,-0.00095,-0.00039,-0.00031,,,2013.61247,-0.00065,-0.00033,0.00403,0.00096,,,2013.61247,0.04602,0.00546,0.00098,0.01106,,,2013.61247,-0.00171,-0.00138,-0.00145,-0.00162
2011.68373,-0.00087,-0.00054,-0.00035,,,2011.68373,-0.0006,-0.00044,0.00397,0.00102,,,2011.68373,0.04638,0.0054,0.00098,0.01111,,,2011.68373,-0.00193,-0.00164,-0.00135,-0.00153
2009.75498,-0.00095,-0.00041,-0.00033,,,2009.75498,-0.00066,-0.00044,0.00396,0.0011,,,2009.75498,0.04657,0.00561,0.00098,0.01135,,,2009.75498,-0.00202,-0.00172,-0.00147,-0.00167
2007.82623,-0.00106,-0.00027,-0.00034,,,2007.82623,-0.00068,-0.00041,0.0039,0.00106,,,2007.82623,0.04663,0.0058,0.00091,0.01142,,,2007.82623,-0.00202,-0.00165,-0.00176,-0.00187
2005.89748,-0.001,-0.0003,-0.00055,,,2005.89748,-0.00047,-0.00042,0.00381,0.00094,,,2005.89748,0.04683,0.00585,0.00071,0.01137,,,2005.89748,-0.00191,-0.00153,-0.00182,-0.00175
2003.96873,-0.00096,-0.0003,-0.00074,,,2003.96873,-0.00032,-0.00047,0.00374,0.0009,,,2003.96873,0.04721,0.00603,0.00054,0.01139,,,2003.96873,-0.00172,-0.00143,-0.00154,-0.00152
2002.03999,-0.00105,-0.00025,-0.00069,,,2002.03999,-0.00041,-0.00053,0.00366,0.00086,,,2002.03999,0.04772,0.0062,0.00054,0.01144,,,2002.03999,-0.00165,-0.00145,-0.00129,-0.00151
2000.11124,-0.00104,-0.00036,-0.00056,,,2000.11124,-0.00056,-0.00057,0.00363,0.0008,,,2000.11124,0.04824,0.00613,0.00072,0.01144,,,2000.11124,-0.00179,-0.00154,-0.00123,-0.00164
1998.18249,-0.00091,-0.0006,-0.00054,,,1998.18249,-0.00063,-0.00055,0.00376,0.0008,,,1998.18249,0.04855,0.00599,0.00096,0.01149,,,1998.18249,-0.00186,-0.00157,-0.00127,-0.00172
1996.25374,-0.00078,-0.00075,-0.00057,,,1996.25374,-0.00067,-0.00041,0.00387,0.00077,,,1996.25374,0.04857,0.00595,0.00104,0.0116,,,1996.25374,-0.00163,-0.00145,-0.00134,-0.00171
1994.325,-0.00074,-0.00077,-0.00059,,,1994.325,-0.00072,-0.00015,0.0038,0.00066,,,1994.325,0.04839,0.00605,0.0009,0.01157,,,1994.325,-0.00129,-0.00119,-0.00128,-0.00157
1992.39625,-0.00074,-0.00061,-0.0006,,,1992.39625,-0.00073,0.00008,0.00365,0.00067,,,1992.39625,0.04825,0.00618,0.00073,0.01144,,,1992.39625,-0.00102,-0.00095,-0.0012,-0.00136
1990.4675,-0.00069,-0.00029,-0.00057,,,1990.4675,-0.00067,0.00006,0.00371,0.00082,,,1990.4675,0.04828,0.00609,0.00072,0.01147,,,1990.4675,-0.00094,-0.00095,-0.00132,-0.00139
1988.53875,-0.00059,-0.00006,-0.00043,,,1988.53875,-0.0006,-0.0001,0.00399,0.00094,,,1988.53875,0.04823,0.00582,0.00083,0.01164,,,1988.53875,-0.00115,-0.00125,-0.00152,-0.00164
1986.61001,-0.00049,-0.00003,-0.00027,,,1986.61001,-0.00061,-0.00016,0.00416,0.00096,,,1986.61001,0.04804,0.00563,0.00096,0.01175,,,1986.61001,-0.00149,-0.00159,-0.00164,-0.00176
1984.68126,-0.00048,-0.00012,-0.0003,,,1984.68126,-0.00071,-0.00017,0.00401,0.00083,,,1984.68126,0.04791,0.00553,0.00099,0.01169,,,1984.68126,-0.00167,-0.00165,-0.00173,-0.00174
