,GOE,MnO2,MMT
2¦È/degree,Intensity,Intensity,Intensity
20.3186,2929,1293,4579
20.3383,3040,1284,4529
20.358,3172,1313,4589
20.3778,3031,1283,4578
20.3975,3015,1345,4430
20.4173,3179,1259,4429
20.437,3133,1309,4465
20.4567,3123,1391,4406
20.4765,3154,1317,4481
20.4962,3133,1352,4469
20.516,3170,1412,4521
20.5357,3220,1374,4448
20.5554,3270,1447,4603
20.5752,3339,1493,4618
20.5949,3273,1355,4791
20.6147,3372,1405,4874
20.6344,3335,1473,5210
20.6541,3463,1506,5703
20.6739,3623,1425,6129
20.6936,3610,1407,6653
20.7134,3638,1453,6549
20.7331,3757,1649,6720
20.7528,3900,2008,6822
20.7726,3925,1740,6537
20.7923,4168,1692,5819
20.8121,4194,1770,5695
20.8318,4404,1547,5606
20.8515,4510,1497,5221
20.8713,4778,1455,5121
20.891,4941,1454,4955
20.9108,5220,1375,4865
20.9305,5597,1426,4774
20.9502,5799,1478,4747
20.97,6137,1407,4578
20.9897,6394,1457,4389
21.0095,6958,1447,4258
21.0292,7318,1437,4155
21.0489,7625,1382,4137
21.0687,8306,1496,3984
21.0884,8706,1442,4063
21.1082,9101,1434,4111
21.1279,9562,1522,3916
21.1476,10013,1536,3920
21.1674,10543,1485,3883
21.1871,10833,1484,3819
21.2069,10849,1434,3905
21.2266,10762,1530,3936
21.2463,10830,1467,3881
21.2661,10735,1502,3767
21.2858,10348,1523,3879
21.3056,9861,1544,3849
21.3253,9565,1538,3845
21.3451,8807,1566,3878
21.3648,8279,1489,3892
21.3845,7868,1520,3869
21.4043,7377,1478,3932
21.424,6702,1537,3858
21.4438,6473,1543,4004
21.4635,6050,1595,3876
21.4832,5788,1658,3946
21.503,5435,1650,3952
21.5227,5095,1583,3847
21.5425,4790,1609,3885
21.5622,4630,1651,3964
21.5819,4404,1574,3832
21.6017,4335,1595,3831
21.6214,4218,1640,3832
21.6412,3934,1675,3909
21.6609,3760,1641,3854
21.6806,3764,1643,3798
21.7004,3601,1615,3861
21.7201,3597,1634,3869
21.7399,3439,1628,3805
21.7596,3410,1702,3803
21.7793,3453,1694,3720
21.7991,3356,1680,3838
